date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:11:57	55284/55284	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:11:49%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home7.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home7.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:12:06	62869/62869	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:12:01%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home8.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home8.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:12:22	67801/67801	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:12:19%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home9.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home9.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:12:22	81211/81211	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:12:11%20GMT	http://htmlstream.com/preview/unify-v1.5/page_jobs.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_jobs.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:12:32	66570/66570	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:12:24%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home11.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home11.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:12:43	61398/61398	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:12:38%20GMT	http://htmlstream.com/preview/unify-v1.5/page_home10.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_home10.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:12:53	74339/74339	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:12:47%20GMT	http://htmlstream.com/preview/unify-v1.5/page_about1.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_about1.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:13:04	55794/55794	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:12:59%20GMT	http://htmlstream.com/preview/unify-v1.5/page_about.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_about.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:13:14	58034/58034	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:13:08%20GMT	http://htmlstream.com/preview/unify-v1.5/page_about_me.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_about_me.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:13:24	59028/59028	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:13:19%20GMT	http://htmlstream.com/preview/unify-v1.5/page_about_our_team.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/page_about_our_team.html	(from http://htmlstream.com/preview/unify-v1.5/)
08:13:41	68441/68441	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Oct%202014%2013:13:39%20GMT	http://htmlstream.com/preview/unify-v1.5/profile_me.html	/home/anb/sites/httrack/httrack/htmlstream.com/preview/unify-v1.5/profile_me.html	(from http://htmlstream.com/preview/unify-v1.5/)
